image_name,timestamp
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 093.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 094.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 095.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 096.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 097.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 098.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 099.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 100.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 101.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 102.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 103.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 104.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 105.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 106.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 107.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 108.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 109.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 110.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 111.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 112.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 113.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 114.jpg,2022-06-03T13:16:25Z
